Removed Pin From Net: NetName=+5V0 Pin=C3-1
Removed Pin From Net: NetName=+5V0 Pin=U3-1
Removed Pin From Net: NetName=+5V0 Pin=U3-3
Removed Pin From Net: NetName=NRST Pin=U5-4
Removed Pin From Net: NetName=GND Pin=U5-5
Removed Pin From Net: NetName=+3V3 Pin=U5-6
Removed Pin From Net: NetName=UART2_TX Pin=U5-9
Removed Pin From Net: NetName=UART2_RX Pin=U5-10
Removed Pin From Net: NetName=BLUE_LED Pin=U5-16
Removed Pin From Net: NetName=STATUS Pin=U5-17
Removed Pin From Net: NetName=GND Pin=U5-18
Removed Pin From Net: NetName=+3V3 Pin=U5-19
Removed Pin From Net: NetName=UART3_TX Pin=U5-21
Removed Pin From Net: NetName=UART3_RX Pin=U5-22
Removed Pin From Net: NetName=CAN1_RX Pin=U5-23
Removed Pin From Net: NetName=CAN1_TX Pin=U5-24
Removed Pin From Net: NetName=SWDIO Pin=U5-25
Removed Pin From Net: NetName=GND Pin=U5-26
Removed Pin From Net: NetName=+3V3 Pin=U5-27
Removed Pin From Net: NetName=SWCLK Pin=U5-28
Removed Pin From Net: NetName=BOOT0 Pin=U5-35
Removed Pin From Net: NetName=GND Pin=U5-36
Removed Pin From Net: NetName=GND Pin=U5-
Change Component Footprint: Designator=U5 Old Footprint=STM-VFQFPN36_N New Footprint=STM-LQFP48_L
Change Component Comment : Designator=U5 Old Comment=STM32F103T6U6A New Comment=STM32F103C6T7ATR
Change Managed Component Library Link : Designator=U5 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=32A4126E-D266-4A99-AE87-C92181D363D0 New ItemGUID=E66B8FAD-7FD2-4214-991B-FA6D77FD2B9E Old RevisionGUID=CE47DE3C-B1B5-4C49-8E68-B0BFE58B4BAF New RevisionGUID=E233BCFC-F286-4090-92DD-194F73EAD4A5
Change component parameters: Designator = "U5" ("U5"); Footprint = "STM-VFQFPN36_N"; UniqueID = "\YMCUPMHJ" ("\YMCUPMHJ")
Add component (AddParameter): Name = "Forward Current"; Value = "1A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "2.5mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "ON Semiconductor"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "SS14"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Junction Temp"; Value = "+125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Repetitive Reverse Voltage"; Value = "40V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Surge Forward Current"; Value = "40A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Description"; Value = "Schottky Diodes & Rectifiers SMA 40V 1.0A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Octopart"; Value = "https://octopart.com/ss14-on+semiconductor-29205033"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "403AE"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Peak Reverse Current"; Value = "0.2mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Standoff Height"; Value = "0.05mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature"; Value = "-65°C to +125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range High"; Value = "+125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range Low"; Value = "-65°C"; VariantName = "[No Variations]"
Added Component: Designator=D2(FP-403AE-MFG)
Add component (AddParameter): Name = "Automotive"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "Diode"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.onsemi.com/pub/Collateral/SS19-D.PDF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L1"; Value = "Discrete Semiconductors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L2"; Value = "Diodes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L3"; Value = "Schottky Diodes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Digikey Description"; Value = "DIODE SCHOTTKY 40V 1A SMA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Forward Current"; Value = "1A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "2.5mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "ON Semiconductor"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "SS14"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Junction Temp"; Value = "+125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Repetitive Reverse Voltage"; Value = "40V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Surge Forward Current"; Value = "40A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Description"; Value = "Schottky Diodes & Rectifiers SMA 40V 1.0A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Octopart"; Value = "https://octopart.com/ss14-on+semiconductor-29205033"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "403AE"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Peak Reverse Current"; Value = "0.2mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Standoff Height"; Value = "0.05mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature"; Value = "-65°C to +125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range High"; Value = "+125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range Low"; Value = "-65°C"; VariantName = "[No Variations]"
Added Component: Designator=J3(FCI-10118192-0001LF-5_V)
Add component (AddParameter): Name = "Brand"; Value = "FCI"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Color"; Value = "Black"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Connector Type"; Value = "MicroUSBTypeBreceptacle"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Material"; Value = "CopperAlloy"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Plating"; Value = "Gold"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current Rating"; Value = "1.8A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet URL"; Value = "http://www.mouser.com/ds/2/154/10118192-793027.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet Version"; Value = "Rev. B, 05/2015"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Factory Pack Quantity"; Value = "1400"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Flammability Rating"; Value = "UL94V-0"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Gender"; Value = "Female"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Insulation Resistance"; Value = "1000MOhms"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "FCI"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer URL"; Value = "http://www.fci.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Angle"; Value = "Right"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Contacts"; Value = "5Contact"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature Range"; Value = "-55Cto+85C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Product"; Value = "MicroUSBTypeBConnectors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Product Category"; Value = "USBConnectors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "Details"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Standard"; Value = "USB2.0"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination Style"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Added Component: Designator=R13(R0603)
Add component (AddParameter): Name = "Case Code (Imperial)"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Code (Metric)"; Value = "1608"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "Chip SMD Resistors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "https://datasheet.ciiva.com/26835/getdatasheetpartid-486078-26835642.pdf?src-supplier=Verical"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "https://datasheet.ciiva.com/26835/getdatasheetpartid-486078-26835642.pdf?src-supplier=Verical"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Plating"; Value = "Tin,Matte"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Depth"; Value = "0.8mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Features"; Value = "Automotive AEC-Q200"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "0.022inch"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "1.55mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Stackpole Electronics"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "RMCF0603FT4K70"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "155°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Power Dissipation"; Value = "100mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Military Standard"; Value = "Not"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Terminations"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "100mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pricing 1"; Value = "1=0.10000, 10=0.01500, 100=0.00590, 1000=0.00265, 2500=0.00230 (USD)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "4.7kR"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistor Type"; Value = "Thick Film"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock 1"; Value = "1530231"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "RMCF0603FT4K70CT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "100ppm/°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "0.031inch"; VariantName = "[No Variations]"
Added Component: Designator=R14(RESC1609X50X30ML10T20)
Add component (AddParameter): Name = "Manufacturer"; Value = "Vishay Dale"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "CRCW060322R0JNTA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "22R"; VariantName = "[No Variations]"
Added Component: Designator=R15(RESC1609X50X30ML10T20)
Add component (AddParameter): Name = "Manufacturer"; Value = "Vishay Dale"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "CRCW060322R0JNTA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "22R"; VariantName = "[No Variations]"
Added Component: Designator=U6(STM-UFQFPN48_M)
Add component (AddParameter): Name = "A/D Converter"; Value = "2x12-bit (10 Channel)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer URL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.st.com/web/en/home.html"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00210843.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "Package Specification"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = "http://www.st.com/st-web-ui/static/active/en/resource/technical/document/data_brief/DM00071938.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Core"; Value = "ARM Cortex-M3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DatasheetVersion"; Value = "Rev. 6"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "FLASH Size (Prog) (kB)"; Value = "32"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "I/Os (High Current)"; Value = "37"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Internal RAM Size (kB)"; Value = "10"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Frequency(F) (Processor speed) (MHz)"; Value = "72"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "48-Pin Ultra Thin Fine Pitch Quad Flat No-Lead, 7 x 7 x 0.6 mm Body, 0.5 mm Pitch, Exposed Pad"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "UFQFPN48"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageVersion"; Value = "Rev. 1, 04/2013"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packing"; Value = "Tray"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PartNumber"; Value = "STM32F103C6U6A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supply Voltage(Vcc) min (V)"; Value = "2"; VariantName = "[No Variations]"
Added Pin To Net: NetName=+5V0 Pin=D2-1
Added Pin To Net: NetName=GND Pin=J3-5
Added Pin To Net: NetName=BOOT0 Pin=R13-1
Added Pin To Net: NetName=NRST Pin=U5-7
Added Pin To Net: NetName=GND Pin=U5-8
Added Pin To Net: NetName=+3V3 Pin=U5-9
Added Pin To Net: NetName=UART3_TX Pin=U5-12
Added Pin To Net: NetName=UART3_RX Pin=U5-13
Added Pin To Net: NetName=GND Pin=U5-23
Added Pin To Net: NetName=+3V3 Pin=U5-24
Added Pin To Net: NetName=UART2_TX Pin=U5-30
Added Pin To Net: NetName=UART2_RX Pin=U5-31
Added Pin To Net: NetName=SWDIO Pin=U5-34
Added Pin To Net: NetName=GND Pin=U5-35
Added Pin To Net: NetName=+3V3 Pin=U5-36
Added Pin To Net: NetName=SWCLK Pin=U5-37
Added Pin To Net: NetName=BLUE_LED Pin=U5-42
Added Pin To Net: NetName=STATUS Pin=U5-43
Added Pin To Net: NetName=BOOT0 Pin=U5-44
Added Pin To Net: NetName=CAN1_RX Pin=U5-45
Added Pin To Net: NetName=CAN1_TX Pin=U5-46
Added Pin To Net: NetName=GND Pin=U5-47
Added Pin To Net: NetName=+3V3 Pin=U5-48
Added Pin To Net: NetName=+3V3 Pin=U6-1
Added Pin To Net: NetName=NRST Pin=U6-7
Added Pin To Net: NetName=GND Pin=U6-8
Added Pin To Net: NetName=+3V3 Pin=U6-9
Added Pin To Net: NetName=UART3_TX Pin=U6-12
Added Pin To Net: NetName=UART3_RX Pin=U6-13
Added Pin To Net: NetName=GND Pin=U6-23
Added Pin To Net: NetName=+3V3 Pin=U6-24
Added Pin To Net: NetName=UART2_TX Pin=U6-30
Added Pin To Net: NetName=UART2_RX Pin=U6-31
Added Pin To Net: NetName=SWDIO Pin=U6-34
Added Pin To Net: NetName=GND Pin=U6-35
Added Pin To Net: NetName=+3V3 Pin=U6-36
Added Pin To Net: NetName=SWCLK Pin=U6-37
Added Pin To Net: NetName=BLUE_LED Pin=U6-42
Added Pin To Net: NetName=STATUS Pin=U6-43
Added Pin To Net: NetName=BOOT0 Pin=U6-44
Added Pin To Net: NetName=CAN1_RX Pin=U6-45
Added Pin To Net: NetName=CAN1_TX Pin=U6-46
Added Pin To Net: NetName=GND Pin=U6-47
Added Pin To Net: NetName=+3V3 Pin=U6-48
Added Pin To Net: NetName=GND Pin=U6-49
Added Pin To Net: NetName=NetC3_1 Pin=C3-1
Added Pin To Net: NetName=NetC3_1 Pin=D1-2
Added Pin To Net: NetName=NetC3_1 Pin=D2-2
Added Pin To Net: NetName=NetC3_1 Pin=U3-1
Added Pin To Net: NetName=NetC3_1 Pin=U3-3
Added Net: Name=NetC3_1
Added Pin To Net: NetName=NetJ3_2 Pin=J3-2
Added Pin To Net: NetName=NetJ3_2 Pin=R14-2
Added Net: Name=NetJ3_2
Added Pin To Net: NetName=NetJ3_3 Pin=J3-3
Added Pin To Net: NetName=NetJ3_3 Pin=R15-2
Added Net: Name=NetJ3_3
Added Pin To Net: NetName=OSC_IN Pin=C5-1
Added Pin To Net: NetName=OSC_IN Pin=U5-5
Added Pin To Net: NetName=OSC_IN Pin=U6-5
Added Pin To Net: NetName=OSC_IN Pin=X1-2
Added Net: Name=OSC_IN
Added Pin To Net: NetName=OSC_OUT Pin=C6-1
Added Pin To Net: NetName=OSC_OUT Pin=U5-6
Added Pin To Net: NetName=OSC_OUT Pin=U6-6
Added Pin To Net: NetName=OSC_OUT Pin=X1-1
Added Net: Name=OSC_OUT
Added Pin To Net: NetName=SHIELD Pin=J3-6
Added Pin To Net: NetName=SHIELD Pin=J3-7
Added Pin To Net: NetName=SHIELD Pin=J3-8
Added Pin To Net: NetName=SHIELD Pin=J3-9
Added Pin To Net: NetName=SHIELD Pin=J3-10
Added Pin To Net: NetName=SHIELD Pin=J3-11
Added Pin To Net: NetName=SHIELD Pin=R13-2
Added Net: Name=SHIELD
Added Pin To Net: NetName=USB_N Pin=R14-1
Added Pin To Net: NetName=USB_N Pin=U5-32
Added Pin To Net: NetName=USB_N Pin=U6-32
Added Net: Name=USB_N
Added Pin To Net: NetName=USB_P Pin=R15-1
Added Pin To Net: NetName=USB_P Pin=U5-33
Added Pin To Net: NetName=USB_P Pin=U6-33
Added Net: Name=USB_P
Added Pin To Net: NetName=V_USB Pin=D1-1
Added Pin To Net: NetName=V_USB Pin=J3-1
Added Net: Name=V_USB
Added Member To Class: ClassName=[03] - CONTROLLER Member=Component D1 SS14
Added Member To Class: ClassName=[03] - CONTROLLER Member=Component D2 SS14
Added Member To Class: ClassName=[03] - CONTROLLER Member=Component J3 10118192-0001LF
Added Member To Class: ClassName=[03] - CONTROLLER Member=Component R13 4K7
Added Member To Class: ClassName=[03] - CONTROLLER Member=Component R14 CRCW060322R0JNTA
Added Member To Class: ClassName=[03] - CONTROLLER Member=Component R15 CRCW060322R0JNTA
Added Member To Class: ClassName=[03] - CONTROLLER Member=Component U6 STM32F103C6U6A
Added Room: Name=[03] - CONTROLLER
